Model:              tesseract_fas
Comparison class:   full_page_detector_recognizer_pipeline
Protocol:           phase1_screening (no ranks)
Dataset:            smoke20-v1
Selected images:    20/20
Preprocessing:      raw
Results output:     C:\my_projects\05_train_models_datasets\persian-ocr\bench_runs\smoke20-v1\tesseract_fas.json

  [OK ] hand-written-001  CER=0.694 t=0.84s
  [OK ] hand-written-002  CER=0.504 t=0.57s
  [OK ] hand-written-003  CER=0.735 t=1.64s
  [OK ] hand-written-004  CER=1.000 t=0.10s
  [OK ] hand-written-005  CER=0.383 t=0.38s
  [OK ] hand-written-006  CER=0.752 t=0.41s
  [OK ] hand-written-007  CER=0.563 t=1.09s
  [OK ] hand-written-008  CER=0.689 t=0.72s
  [OK ] hand-written-009  CER=0.699 t=0.35s
  [OK ] hand-written-010  CER=0.876 t=0.38s
  [OK ] typed-001  CER=0.027 t=1.27s
  [OK ] typed-002  CER=1.000 t=0.12s
  [OK ] typed-003  CER=0.053 t=0.91s
  [OK ] typed-004  CER=0.861 t=0.29s
  [OK ] typed-005  CER=0.519 t=0.48s
  [OK ] typed-006  CER=excluded t=1.81s
  [OK ] typed-007  CER=excluded t=0.18s
  [OK ] typed-008  CER=0.042 t=0.23s
  [OK ] typed-009  CER=excluded t=1.92s
  [OK ] typed-010  CER=0.395 t=0.43s

Results saved to: C:\my_projects\05_train_models_datasets\persian-ocr\bench_runs\smoke20-v1\tesseract_fas.json
